id	zone	target	unit	name	name_en
2565	armario_limpieza	3	ud	Papel higiénico	Toilet paper
56093	armario_limpieza	3	ud	Detergente Marsella	Marsella detergent
48857	armario_limpieza	3	ud	Suavizante Vernel Maldivas	Fabric softener (Vernel Maldivas)
20124	armario_limpieza	3	ud	Insecticida	Insecticide
22699	armario_limpieza	4	ud	Ambientador spray	Air freshener spray
23085	armario_limpieza	4	ud	Ambientador de palos	Reed diffuser
38910	armario_limpieza	4	ud	Fregasuelos	Floor cleaner
45271	armario_limpieza	4	ud	Bolas para limpieza de wáter	Toilet rim blocks
2283	armario_limpieza	2	ud	Desengrasante Zorka	Degreaser (Zorka)
4976	armario_limpieza	3	ud	Lejía con detergente	Bleach with detergent
4975	armario_limpieza	3	ud	Lejía para lavadoras	Washing machine bleach
15086	armario_limpieza	3	ud	Desatascador de tuberías líquido	Liquid drain unblocker
40240	armario_limpieza	2	ud	Oxígeno activo	Oxygen stain remover
51629	armario_limpieza	2	ud	Blanqueador percarbonato	Percarbonate whitener
54375	armario_limpieza	2	pack	Trampas para cucarachas (pack de 6)	Cockroach traps (6-pack)
18973	armario_limpieza	4	ud	Vinagre de limpieza	Cleaning vinegar
38762	despensa	7	ud	Papel de cocina	Kitchen paper
57172	despensa	3	ud	Bolsas de basura 100 L	Bin bags 100 L
45113	despensa	3	ud	Bolsas de basura 30 L	Bin bags 30 L
69042	despensa	2	ud	Bolsas de basura perfumadas 10 L	Scented bin bags 10 L
79223	despensa	3	ud	Bayetas	Cleaning cloths
27895	despensa	3	ud	Estropajos	Scouring pads
21716	despensa	3	ud	Nanita	Cleaning pad (delicate surfaces)
4598	despensa	2	ud	Mantequilla	Butter
10360	cafeteria	5	ud	Café en grano natural	Coffee beans
41183	cafeteria	4	ud	Café molido descafeinado	Decaf ground coffee
50152	cafeteria	2	ud	Té rojo	Red tea
50154	cafeteria	2	ud	Té verde	Green tea
1827	cafeteria	2	ud	Manzanilla	Chamomile
1924	cafeteria	2	ud	Menta poleo	Peppermint tea
51190	cafeteria	12	ud	Bebida de avena	Oat drink
15592	cafeteria	12	ud	Leche semidesnatada sin lactosa	Lactose-free semi-skimmed milk
21162	armario_despensa	4	ud	Papel de horno	Oven paper
3694	armario_despensa	4	ud	Papel de aluminio	Aluminium foil
5406	armario_despensa	4	ud	Película de plástico	Cling film
2527	armario_despensa	5	ud	Servilletas	Napkins
7292	armario_despensa	5	pack	Shandy (pack de 6)	Shandy, lemon (6-pack)
9753	armario_despensa	2	pack	Coca-Cola (pack de 12 latas)	Coca-Cola (12-can pack)
9106	armario_despensa	2	pack	Coca-Cola Zero (pack de 12 latas)	Coca-Cola Zero (12-can pack)
7670	armario_despensa	6	pack	Estrella Galicia (pack de 12 botellas)	Estrella Galicia (12-bottle pack)
37283	armario_despensa	2	pack	Estrella Galicia 0,0 (pack de 6 botellas)	Alcohol-free beer 0.0 (6-bottle pack)
45365	congelador	3	ud	Helados mini twins	Mini ice cream sandwiches (twins)
45372	congelador	3	ud	Helado sándwich de nata	Ice cream sandwiches (cream)
68507	congelador	3	ud	Helado sándwich tipo Oreo	Ice cream sandwiches (cookies and cream)
44312	congelador	5	bolsa	Hielo	Ice
5014	cocina	2	ud	Sal gruesa	Coarse salt
5034	cocina	1	ud	Sal fina	Fine iodised salt
23977	cocina	2	ud	Orégano	Oregano
46677	cocina	2	ud	Azúcar	White sugar
58871	cocina	2	ud	Mermelada de fresa	Strawberry jam
